INSTNM,STABBR,CONTROL,PREDDEG,COSTT4_A,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,GRAD_DEBT_MDN,C150_4,UGDS
University of Connecticut-Hartford Campus,CT,1,3,25031.0,13339.0,,73997.0,21500,0.6536,1473.0
Ottawa University-Surprise,AZ,2,3,51400.0,,35081.0,55552.0,21500,0.2252,768.0
Chamberlain University-Missouri,MO,3,3,41617.0,,34947.0,92405.0,20919,0.3333,328.0
Chamberlain University-Texas,TX,3,3,39297.0,,32247.0,92405.0,20919,0.0,2416.0
Continental School of Beauty Culture-Mattydale,NY,3,1,,,15244.0,23906.0,6333,,145.0
Paul Mitchell the School-Columbia,SC,3,1,,,12804.0,26696.0,11740,,300.0
Paul Mitchell the School-Charleston,SC,3,1,,,14415.0,26696.0,11740,,266.0
Kenneth Shuler School of Cosmetology-Greenville,SC,3,1,,,20721.0,23193.0,6333,,133.0
Northwest College-Eugene,OR,3,1,,,25401.0,24421.0,7564,,119.0
Northwest College-Tualatin,OR,3,1,,,31346.0,24421.0,7564,,28.0
CET-Soledad,CA,2,1,,,10377.0,32986.0,7041,,179.0
UEI College-Oceanside,CA,3,1,,,25560.0,31141.0,9500,,777.0
Paul Mitchell the School-New Orleans,LA,3,1,,,20495.0,25699.0,9833,,226.0
UEI College-Garden Grove,CA,3,1,,,23923.0,31141.0,9500,,1093.0
New England Tractor Trailer Training School of Massachusetts,MA,3,1,,,15735.0,53085.0,6333,,527.0
Dewey University-Manati,PR,2,3,11572.0,,4039.0,19761.0,5185,0.7429,255.0
Allen School-Phoenix,AZ,3,1,,,21433.0,34186.0,9500,,11.0
Oklahoma Technical College,OK,2,1,,,28311.0,28954.0,8898,,120.0
Unitech Training Academy-Alexandria,LA,3,1,,,20968.0,24707.0,8721,,82.0
UEI College-Riverside,CA,3,1,,,25704.0,30848.0,9500,,1447.0
WellSpring School of Allied Health-Lawrence,KS,3,1,,,16971.0,29839.0,7917,,36.0
Manuel and Theresa's School of Hair Design-Victoria,TX,3,1,,,14554.0,,7924,,17.0
Tricoci University of Beauty Culture-Chicago NE,IL,3,1,,,20010.0,27330.0,7307,,135.0
Los Angeles Pacific University,CA,2,3,28144.0,,20170.0,,18750,0.325,1453.0
Avalon Institute-Phoenix,AZ,3,1,,,16689.0,30803.0,6332,,382.0
Avalon Institute-Layton,UT,3,1,,,18945.0,30803.0,6332,,217.0
Aveda Institute-Des Moines,IA,3,1,,,15155.0,36132.0,8461,,179.0
Fortis Institute-Lawrenceville,NJ,3,1,,,18433.0,36920.0,9500,,305.0
Relay Graduate School of Education,NY,2,1,,,,,PS,,93.0
Miller-Motte College-Macon,GA,3,1,,,22139.0,31102.0,15917,,206.0
South University-Savannah Online,GA,3,3,31716.0,,26308.0,34421.0,26123,0.0506,6492.0
San Joaquin Valley College-Temecula,CA,3,1,,,26652.0,38317.0,10674,,649.0
Whitworth University-Adult Degree Programs,WA,2,3,,,,58561.0,25000,,170.0
The Colleges of Law at Santa Barbara,CA,2,4,,,,,PS,,
Springfield College-Regional Online and Continuing Education,MA,2,3,,,,48036.0,26250,,254.0
Marian Health Careers Center-Van Nuys Campus,CA,3,1,,,32543.0,63612.0,12337,,88.0
Milan Institute-Las Vegas,NV,3,1,,,21566.0,24879.0,6333,,214.0
Catholic International University,WV,2,3,,,,,PS,,95.0
New York School of Esthetics & Day Spa,NY,3,1,,,16317.0,,PS,,164.0
Finger Lakes Health College of Nursing & Health Sciences,NY,2,2,,,,40054.0,12975,,65.0
ASI Career Institute,NJ,3,1,,,10692.0,,PS,,33.0
Christine Valmy International School of Esthetics & Cosmetology,NJ,3,1,,,20157.0,,5457,,247.0
Paul Mitchell the School-Arlington,TX,3,1,,,22334.0,28693.0,8505,,265.0
Rocky Mountain University of Health Professions,UT,3,4,,,,,,,
Paul Mitchell the School-Fort Myers,FL,3,1,,,17612.0,16715.0,9667,,108.0
Paul Mitchell the School-Raleigh,NC,3,1,,,17979.0,,10500,,133.0
CUNY Stella and Charles Guttman Community College,NY,1,2,12494.0,5643.0,,,6500,,1054.0
Lil Lou's Beauty and Barber College,IN,3,1,,,20019.0,,14302,,40.0
Criswell College,TX,2,3,26555.0,,12929.0,43185.0,25346,0.5714,118.0
Beverly Hills Design Institute,CA,3,3,,,,,PS,0.0,14.0
Reflections Academy of Beauty,IL,3,1,,,21319.0,,16500,,29.0
UCAS University of Cosmetology Arts & Sciences-La Joya,TX,3,1,,,17277.0,19880.0,6447,,52.0
Annenberg School of Nursing,CA,2,1,,,20811.0,,PS,,24.0
American Medical Academy,FL,3,1,,,,,10831,0.7191,303.0
Tooele Technical College,UT,1,1,,,,,PS,,313.0
Chamberlain University-Georgia,GA,3,3,38137.0,,31471.0,92405.0,20919,,1588.0
Chamberlain University-Indiana,IN,3,3,41617.0,,36219.0,92405.0,20919,1.0,177.0
Sessions College for Professional Design,AZ,3,1,21244.0,,15156.0,,17813,0.5,152.0
Tulsa Welding School-Jacksonville,FL,3,1,,,28384.0,41067.0,9500,,394.0
Empire Beauty School-Virginia Beach,VA,3,1,,,16162.0,24407.0,13583,,169.0
Ross College-Morgantown,WV,3,1,,,20318.0,30481.0,9500,,16.0
Miami Ad School-New York,NY,3,1,,,,106192.0,25967,,32.0
Larry's Barber College,IL,3,1,,,11692.0,,3945,,81.0
Futura Career Institute,FL,3,1,,,22298.0,,PS,,478.0
Vogue College of Cosmetology-San Antonio Fredericksburg,TX,3,1,,,28687.0,,6333,,122.0
Vogue College of Cosmetology,TX,3,1,,,21375.0,,6333,,136.0
Tomorrow's Image Barber And Beauty Academy of Virginia,VA,3,1,,,17543.0,,12179,,18.0
Medical Allied Career Center,CA,3,1,,,29617.0,,17130,,64.0
Bais HaMedrash and Mesivta of Baltimore,MD,2,3,23500.0,,9482.0,,PS,0.12,91.0
Barber & Beauty Institute of New York,NY,3,1,,,15939.0,,4223,,28.0
Salon Institute-Toledo Campus,OH,3,1,,,17233.0,,12000,,152.0
Athena Career Academy,OH,3,1,,,25171.0,,14120,,395.0
Yeshiva Gedolah Zichron Leyma,NJ,2,3,17550.0,,6833.0,,PS,0.75,47.0
The Barber School,UT,3,1,,,21150.0,,8096,,145.0
Be'er Yaakov Talmudic Seminary,NY,2,3,19351.0,,4843.0,17360.0,PS,0.5304,679.0
Rio Grande Valley College,TX,3,1,,,20678.0,,12359,,818.0
Alexander Academy,MA,3,1,,,26172.0,,9500,,30.0
Aveda Institute-Tucson,AZ,3,1,,,21037.0,,6333,,264.0
Diamond Beauty College,CA,3,1,,,9494.0,,PS,,73.0
Unitek College,CA,3,1,,,28283.0,87877.0,10700,,255.0
University Academy of Hair Design,AL,3,1,,,11403.0,,9833,,38.0
Florida Institute of Recording Sound and Technology,FL,3,1,,,,,9500,,413.0
Paul Mitchell the School-Reno,NV,3,1,,,20951.0,,10500,,212.0
Boise Barber College,ID,3,1,,,15109.0,,9500,,82.0
Austin Kade Academy,ID,3,1,,,15198.0,,6333,,116.0
Aesthetic Science Institute,NY,3,1,,,10505.0,,6333,,157.0
Elaine Sterling Institute,GA,3,1,,,23335.0,,9500,,653.0
Wade Gordon Hairdressing Academy,TX,3,1,,,25694.0,,9833,,134.0
Mitsu Sato Hair Academy,KS,3,1,,,10412.0,,9500,,97.0
FVI School of Nursing and Technology,FL,3,1,,,26818.0,,9396,,553.0
Colorado State University Global,CO,1,3,18384.0,14099.0,,76813.0,25000,,6202.0
Paul Mitchell the School-Overland Park,KS,3,1,,,18979.0,,9833,,189.0
Medspa Academies,UT,3,1,,,16881.0,,PS,,263.0
Brighton Institute of Cosmetology,MI,3,1,,,,,PS,,44.0
West Coast University-Texas,TX,3,3,33502.0,,25957.0,102672.0,32946,,1014.0
Evangel University-James River Assembly of God Church,MO,2,2,29251.0,,21887.0,46573.0,24736,,98.0
Empire Beauty School-Savannah,GA,3,1,,,17452.0,24022.0,10667,,137.0
Ogle School Hair Skin Nails-Denton,TX,3,1,,,18818.0,31055.0,7917,,198.0
Empire Beauty School-West Greensboro,NC,3,1,,,16625.0,24407.0,13583,,124.0
Hays Academy of Hair Design,KS,3,1,,,13806.0,23712.0,9833,,49.0
Bellus Academy,KS,3,1,,,22076.0,25223.0,7917,,223.0
MotoRing Technical Training Institute,RI,3,1,,,19403.0,48281.0,9500,,143.0
Unitek College,CA,3,1,,,27158.0,87877.0,10700,,326.0
Pennsylvania State University-World Campus,PA,1,3,27938.0,20826.0,,63435.0,25000,0.3363,7554.0
MCI Institute of NJ,NJ,3,1,,,,,10836,,162.0
Advance Beauty Techs Academy,CA,3,1,,,28695.0,,5406,,85.0
Elevate Salon Institute-Westminster,CO,3,1,,,14235.0,,6333,,115.0
Brand College,CA,3,1,,,,,,,12.0
Hinton Barber and Beauty College,CA,3,1,,,15550.0,,11445,,62.0
Advanced Career Institute,CA,3,1,,,,,6331,,780.0
Digital Film Academy,NY,3,1,,,55151.0,,6750,,60.0
MyComputerCareer at Raleigh,NC,3,1,,,26317.0,,9500,,1617.0
South University-Austin,TX,3,3,31666.0,,24532.0,34421.0,26123,0.0909,243.0
Bryant & Stratton College-Online,NY,2,2,20558.0,,14642.0,32568.0,21549,0.1833,7847.0
Ogle School Hair Skin Nails-San Antonio,TX,3,1,,,20159.0,31055.0,7917,,438.0
Ideal Beauty Academy,KY,3,1,,,21459.0,24635.0,PS,,7.0
Warner Pacific University Professional and Graduate Studies,OR,2,3,,,,55204.0,25000,,161.0
Platt College-Riverside,CA,3,2,32321.0,,26217.0,40669.0,18685,0.5611,416.0
Empire Beauty School-Glen Burnie,MD,3,1,,,17129.0,25073.0,13000,,73.0
UEI College-Stockton,CA,3,1,,,25283.0,31141.0,9500,,823.0
Ross Medical Education Center-Dayton,OH,3,1,,,23722.0,33079.0,9500,,106.0
Ross Medical Education Center-Ontario,OH,3,1,,,22346.0,29898.0,9500,,37.0
Ross Medical Education Center-Bowling Green,KY,3,1,,,21401.0,30060.0,9500,,66.0
Florida Institute of Technology-Online,FL,2,3,28715.0,,25374.0,43137.0,27000,,628.0
Rasmussen University-Kansas,KS,3,2,24908.0,,18289.0,39080.0,20899,0.5,333.0
School of Missionary Aviation Technology,MI,2,1,,,14994.0,,PS,,36.0
California Miramar University,CA,3,3,16789.0,,11007.0,,31000,0.0,105.0
Rocky Vista University,CO,3,4,,,,,,,
The College of Health Care Professions-Dallas,TX,3,1,,,26236.0,38922.0,9120,,633.0
The College of Health Care Professions-Fort Worth,TX,3,1,,,26133.0,33070.0,9500,,1025.0
Shear Finesse Beauty Academy,FL,3,1,,,22302.0,,PS,,31.0
Miami Media School,FL,3,1,,,30528.0,28918.0,9500,,37.0
Academy of Salon Professionals,MO,3,1,,,15071.0,,9833,,46.0
CyberTex Institute of Technology,TX,3,1,,,27877.0,,7811,,195.0
New England Tractor Trailer Training School of CT-Bridgeport,CT,3,1,,,16151.0,44444.0,6333,,517.0
Designer Barber & Stylist School,AR,3,1,,,16010.0,,PS,,91.0
College of the Muscogee Nation,OK,1,2,22018.0,13615.0,,,PS,,230.0
The Salon Professional Academy-Huntsville,AL,3,1,,,19115.0,,PS,,56.0
Midwives College of Utah,UT,2,3,33358.0,,26463.0,,21054,0.0,253.0
Aspen Beauty Academy of Laurel,MD,3,1,,,10624.0,,16500,,118.0
M T Training Center,TX,3,1,,,9784.0,,6755,,261.0
Berks Career & Technology Center,PA,1,1,,17879.0,,,PS,,47.0
Future Generations University,WV,2,4,,,,,PS,,
Carthage R9 School District-Carthage Technical Center,MO,1,1,,16233.0,,,PS,,17.0
Grace Mission University,CA,2,3,,,,,PS,0.0,72.0
World A Cuts Barber Institute,PA,3,1,,,25059.0,,,,30.0
Verve College,IL,3,1,,,,,11600,,257.0
Sotheby's Institute of Art-NY,NY,3,4,,,,,PS,,
Top Nails & Hair Beauty School,UT,3,1,,,,,PS,,104.0
Santa Ana Beauty College,CA,3,1,,,9490.0,,PS,,74.0
Shepherds College,WI,2,1,,,24235.0,,19000,,91.0
Woodruff Medical and Wellness Training,GA,3,1,,,19813.0,,7917,,71.0
Helms College,GA,2,1,26400.0,,21117.0,,9500,,150.0
Ukiah Adult School,CA,1,1,,,,,PS,,0.0
Riverside County Office of Education-School of Career Education,CA,1,1,,11857.0,,,PS,,108.0
Institute of Health Sciences,MD,3,1,27500.0,,22028.0,,9500,,176.0
Mid-South Christian College,TN,2,3,19761.0,,11881.0,,PS,0.75,23.0
New York Institute of Beauty,NY,3,1,,,34330.0,,5422,,241.0
Ultrasound Medical Institute,FL,3,2,,,,,20000,,110.0
Xavier College School of Nursing,CA,3,1,,,18620.0,,16652,,87.0
Lawrence & Company College of Cosmetology,CA,3,1,,,12304.0,,7400,,34.0
Kaizen Beauty Academy,FL,3,1,,,,,6333,,86.0
Sharp Edgez Barber Institute,NY,3,1,,,13475.0,,5476,,63.0
The Salon Professional Academy-Nashville,TN,3,1,,,13347.0,,9833,,34.0
Prestige Health & Beauty Sciences Academy,FL,3,1,,,,,PS,,41.0
California Career Institute,CA,3,1,,,,,17363,,517.0
Grace School of Theology,TX,2,3,,,,,PS,,215.0
Yeshiva Gedolah Kesser Torah,NY,2,3,20100.0,,9215.0,,PS,0.381,82.0
Universal Training Institute,NJ,3,1,,,37693.0,,12546,,133.0
Yeshiva Yesodei Hatorah,NJ,2,3,18411.0,,9429.0,,PS,0.0741,72.0
Center for the Healing Arts,NJ,3,1,,,12513.0,,PS,,36.0
Bonnie Joseph Academy of Cosmetology & Barbering,UT,3,1,,,,,PS,,15.0
Healthcare Training Institute,LA,3,1,,,22975.0,,20000,,124.0
J D Academy of Salon and Spa,CA,3,1,,,32703.0,,6211,,106.0
Boca Beauty Academy,FL,3,1,,,21509.0,,6333,,211.0
SPBK Enterprises Inc,MO,3,1,,,12532.0,,7641,,102.0
The Chrysm Institute of Esthetics,VA,3,1,,,19130.0,,6333,,255.0
Sanford Burnham Prebys Medical Discovery Institute,CA,2,4,,,,,,,
Belle Academy of Cosmetology LLC,CT,3,1,,,5033.0,,PS,,12.0
Empire Beauty School-Augusta,GA,3,1,,,16890.0,23921.0,10667,,88.0
South University-High Point,NC,3,3,36215.0,,27634.0,34421.0,26123,0.0,70.0
Empire Beauty School-Vernon Hills,IL,3,1,,,15388.0,24407.0,13583,,57.0
Empire Beauty School-Stone Park,IL,3,1,,,16869.0,24407.0,13583,,118.0
San Joaquin Valley College-Lancaster,CA,3,1,,,23940.0,38317.0,10674,,239.0
Empire Beauty School-Rochester,NY,3,1,,,17701.0,24022.0,10667,,83.0
Ross Medical Education Center-Kokomo,IN,3,1,,,22946.0,33079.0,9500,,51.0
Ross Medical Education Center-Erlanger,KY,3,1,,,22211.0,29898.0,9500,,67.0
Ross Medical Education Center-Charleston,WV,3,1,,,21927.0,30072.0,9500,,36.0
InterCoast Colleges-Fairfield,CA,3,1,,,23134.0,36089.0,10313,,139.0
Southern Careers Institute-San Antonio,TX,3,1,,,29173.0,27035.0,8708,,939.0
Milan Institute-Merced,CA,3,1,,,28094.0,24879.0,6333,,308.0
Midwest Technical Institute-Missouri,MO,3,1,,,23412.0,33601.0,9500,,335.0
Augusta University,GA,1,3,22146.0,13347.0,,48472.0,20500,0.4865,5282.0
Middle Georgia State University,GA,1,3,20189.0,13922.0,,40863.0,19000,0.256,6655.0
Trenz Beauty Academy,IL,3,1,,,,,13822,,73.0
Paul Mitchell the School-Denver,CO,3,1,,,11886.0,,9783,,231.0
Academy of Interactive Entertainment,WA,2,1,40039.0,,36609.0,,12000,,76.0
Arrojo Cosmetology School,NY,3,1,,,22811.0,,PS,,107.0
Cosmetology Academy of Texarkana,TX,3,1,,,15206.0,,10637,,55.0
Veritas Baptist College,IN,2,3,18643.0,,13539.0,,PS,0.2857,114.0
Lynnes Welding Training,ND,3,1,,,23093.0,,PS,,36.0
Aviation Institute of Maintenance-Las Vegas,NV,3,1,31041.0,,25155.0,48191.0,31500,,332.0
UEI College-Bakersfield,CA,3,1,,,27712.0,27688.0,9500,,1385.0
DeVry College of New York,NY,3,3,41672.0,,34530.0,45987.0,24807,0.3333,175.0
DeVry University-Arizona,AZ,3,3,,,,45987.0,24807,0.625,22.0
DeVry University-California,CA,3,3,39643.0,,33294.0,45987.0,24807,0.4286,2081.0
DeVry University-Florida,FL,3,3,,,,45987.0,24807,0.4,188.0
DeVry University-Georgia,GA,3,3,39356.0,,30243.0,45987.0,24807,0.3636,472.0
DeVry University-Illinois,IL,3,1,38020.0,,30878.0,45987.0,24807,0.3686,25975.0
DeVry University-Nevada,NV,3,3,,,,45987.0,24807,0.0,4.0
DeVry University-New Jersey,NJ,3,3,,,,45987.0,24807,0.3333,68.0
DeVry University-Ohio,OH,3,3,,,,45987.0,24807,0.45,218.0
DeVry University-Texas,TX,3,3,,,,45987.0,24807,0.3333,26.0
DeVry University-Virginia,VA,3,3,33556.0,,22341.0,45987.0,24807,1.0,25.0
University of North Georgia,GA,1,3,18062.0,10785.0,,50135.0,17750,0.3685,15542.0
South Georgia State College,GA,1,2,16015.0,9300.0,,35697.0,11500,0.2031,1553.0
Northeastern University Professional Programs,MA,2,3,,,,92538.0,24250,,1674.0
Florida Polytechnic University,FL,1,3,20807.0,9899.0,,,14250,0.5302,1556.0
American Institute-Toms River,NJ,3,1,,,17386.0,28710.0,11979,,463.0
Alamo City Barber College,TX,3,1,,,15890.0,,6937,,180.0
Arizona College-Mesa,AZ,3,1,32204.0,,26682.0,34657.0,9500,,133.0
American College of Healthcare and Technology,CA,3,1,,,12483.0,31109.0,9500,,155.0
Antioch College,OH,2,3,50383.0,,6602.0,,PS,0.2632,127.0
Texas A&M University-Central Texas,TX,1,3,13220.0,1113.0,,,17750,,1698.0
Central Georgia Technical College,GA,1,1,11885.0,4750.0,,30848.0,9608,,5602.0
Barber School of Pittsburgh,PA,3,1,,,18910.0,,13583,,78.0
Innovate Salon Academy,NJ,3,1,,,38617.0,,6333,,247.0
Arizona State University Digital Immersion,AZ,1,3,,,,62668.0,19500,,49000.0
Louisiana Delta Community College,LA,1,1,13941.0,8306.0,,30438.0,12500,,2933.0
The Fab School,CA,3,1,,,39612.0,,PS,,164.0
Networks Barber College,IL,3,1,,,17567.0,,16500,,50.0
JB's Hair Design and Barber College,OK,3,1,,,18127.0,,PS,,63.0
Paul Mitchell the School-Lombard,IL,3,1,,,17337.0,27652.0,13598,,73.0
Paul Mitchell the School-Greenville,SC,3,1,,,18487.0,26696.0,11740,,147.0
Barber and Beauty Academy of Pennsylvania,PA,3,1,,,10014.0,,PS,,44.0
Delta College of Arts & Technology-Lafayette Campus,LA,3,1,,,22230.0,34222.0,7393,,183.0
Delta College-Slidell Campus,LA,3,1,,,19835.0,32044.0,6397,,135.0
Integrity College of Health,CA,3,1,,,18132.0,,13194,0.6,158.0
Electrical and HVAC/R Training Center,NY,3,1,,,18341.0,,6333,,236.0
Alexander Paul Institute of Hair Design,NC,3,1,,,14976.0,,8750,,37.0
More Tech Institute,FL,3,1,,,36256.0,,PS,,72.0
Dorsey College-Dearborn,MI,3,1,29357.0,,22173.0,29392.0,13000,,450.0
Neecee's Barber College,TX,3,1,,,18256.0,,10667,,33.0
Bella Cosmetology and Barber College,TX,3,1,,,22549.0,,10667,,71.0
Franklin Hair Academy School of Cosmetology,TN,3,1,,,22321.0,,PS,,75.0
Ana G. Mendez University,FL,2,3,,,,,12188,,4897.0
Ohio Institute of Allied Health,OH,2,1,40476.0,,38315.0,,9500,,39.0
Access Careers,NY,3,1,,,,,5500,,408.0
Luckes Beauty Academy LLC,VA,3,1,,,15361.0,,PS,,21.0
Total Transformation Institute of Cosmetology,TX,3,1,,,16832.0,,7917,,94.0
Vibe Barber College,TN,3,1,,,14538.0,,9500,,63.0
Champ's Barber School,PA,3,1,,,17381.0,,PS,,45.0
Washington University of Science and Technology,VA,3,3,,,,,PS,0.5455,302.0
East-West Healing Arts Institute,WI,3,1,,,31572.0,,PS,,44.0
Standard Healthcare Services-College of Nursing,VA,3,1,,,35630.0,,14750,,719.0
Philadelphia Technician Training,PA,2,1,,,23288.0,,9500,,492.0
Grace International Beauty School,NY,3,1,,,14925.0,,PS,,15.0
Alliance Computing Solutions,NY,3,1,,,12225.0,,PS,,4.0
InterAmerican Technical Institute,FL,3,1,,,29741.0,,PS,,606.0
Bay Area Medical Academy,CA,3,1,,,25327.0,,9089,,159.0
Mind Body Institute,TN,3,1,,,23445.0,,PS,,36.0
Parisian Spa Institute,FL,3,1,,,8710.0,,3167,,198.0
Creative Touch Cosmetology School,IL,3,1,,,11637.0,,PS,,21.0
LaBarberia Institute of Hair,OH,3,1,,,12899.0,,20000,,213.0
Bos-Man's Barber College,LA,3,1,,,9039.0,,PS,,54.0
Lawrence & Company College of Cosmetology,CA,3,1,,,19422.0,,PS,,38.0
Alabama College of Osteopathic Medicine,AL,2,4,,,,,,,
High Desert Medical College,CA,3,1,,,27890.0,,13555,,1721.0
Paul Mitchell the School-Schenectady,NY,3,1,,,25008.0,,6650,,93.0
Beyond Measure Barbering Institute,NC,3,1,,,11406.0,,12533,,49.0
Barber Institute of Texas,TX,3,1,,,10208.0,,9500,,16.0
Jupiter Beauty Academy,MA,3,1,,,11860.0,,PS,,207.0
MedQuest College,KY,3,1,,,18813.0,,9500,,273.0
First Coast Barber Academy,FL,3,1,,,15749.0,,12090,,50.0
Debutantes School of Cosmetology and Nail Technology,IL,3,1,,,8331.0,,7917,,65.0
Paul Mitchell the School-Farmington Hills,MI,3,1,,,23226.0,,9833,,105.0
Paul Mitchell the School-Merrillville,IN,3,1,,,16793.0,,9833,,70.0
TIGI Hairdressing Academy Newtown,CT,3,1,,,14904.0,,9833,,96.0
Yahweh Beauty Academy,TX,3,1,,,17618.0,,PS,,42.0
Arizona School of Integrative Studies,AZ,3,1,,,16249.0,,8444,,161.0
Lee Professional Institute,FL,3,1,,,16308.0,,PS,,35.0
Park Place Premier Barber School,LA,3,1,,,12005.0,,PS,,22.0
The Salon Professional Academy-San Jose,CA,3,1,,,18460.0,,6333,,231.0
Tri-Community Adult Education,CA,1,1,,,,,PS,,217.0
Ross Medical Education Center-Owensboro,KY,3,1,,,19784.0,30481.0,9500,,29.0
Ross Medical Education Center-Evansville,IN,3,1,,,20553.0,33079.0,9500,,68.0
Ross Medical Education Center-Johnson City,TN,3,1,,,22176.0,33079.0,9500,,67.0
North-West College-Anaheim,CA,3,1,,,31140.0,39876.0,9500,,455.0
North-West College-Long Beach,CA,3,1,,,32474.0,39876.0,9500,,576.0
Taylor Andrews Academy of Hair Design-Provo,UT,3,1,,,21627.0,36048.0,10556,,148.0
University of Florida-Online,FL,1,3,17036.0,4702.0,,71588.0,15000,0.7766,4577.0
Ogle School Hair Skin Nails-Stafford,TX,3,1,,,20472.0,31488.0,7917,,516.0
University of Phoenix-Arizona,AZ,3,3,19449.0,,13571.0,37752.0,31553,0.1951,76996.0
University of Phoenix-California,CA,3,3,,,,37752.0,31553,0.1837,155.0
University of Phoenix-Nevada,NV,3,3,,,,37752.0,31553,0.0,
University of Phoenix-Texas,TX,3,3,,,,37752.0,31553,0.0,20.0
Minerva University,CA,2,3,,,,,,0.8883,603.0
University of West Los Angeles,CA,3,3,,,,,,,6.0
Rabbinical College Ohr Yisroel,NY,2,3,15850.0,,6147.0,,PS,0.5152,116.0
Aveda Institute-Phoenix,AZ,3,1,,,22297.0,,6333,,202.0
University of North Texas at Dallas,TX,1,3,21003.0,8376.0,,,18606,0.4379,2914.0
Dermal Science International Aesthetics and Nail Academy,VA,3,1,,,10807.0,,PS,,35.0
BridgeValley Community & Technical College,WV,1,2,10892.0,4992.0,,36432.0,9829,,1734.0
Northwest College-Medford,OR,3,1,,,21107.0,24421.0,7564,,72.0
Houston Training Schools-Gessner,TX,3,1,,,7354.0,18991.0,PS,,155.0
Empire Beauty School-Buffalo,NY,3,1,,,16087.0,22377.0,10667,,78.0
Paul Mitchell the School-Toledo,OH,3,1,,,23066.0,28363.0,12500,,169.0
Georgia Military College,GA,1,2,18298.0,14693.0,,39257.0,8563,0.3294,3936.0
Beau Monde Academy of Barbering and Cosmetology,OR,3,1,,,28192.0,24565.0,8769,,120.0
Fountain of Youth Academy of Cosmetology,PA,3,1,,,30608.0,,6333,,52.0
West Coast University-Miami,FL,3,3,42172.0,,38218.0,102672.0,32946,0.5,900.0
Aparicio-Levy Technical College,FL,1,1,,,,,PS,,137.0
The Vocational Nursing Institute Inc,TX,2,1,,,57042.0,,PS,,20.0
Hollywood Institute of Beauty Careers-West Palm Beach,FL,3,1,,,19109.0,21386.0,6199,,287.0
Hollywood Institute of Beauty Careers-Casselberry,FL,3,1,,,17903.0,21386.0,6199,,303.0
Empire Beauty School-Cheltenham,PA,3,1,,,18891.0,23921.0,10667,,151.0
High Tech High Graduate School of Education,CA,2,4,,,,,,,
Coachella Valley Beauty College-Hemet,CA,3,1,,,15776.0,19665.0,2905,,101.0
Coastal Pines Technical College,GA,1,1,9670.0,124.0,,30214.0,PS,,1688.0
Studio Beauty School,WA,3,1,,,19626.0,,6582,,106.0
Latin Beauty Academy,FL,3,1,,,16207.0,,7333,,214.0
Associated Barber College of San Diego,CA,3,1,,,20688.0,,16500,,116.0
ABCO Technology,CA,3,1,,,14659.0,,PS,,121.0
Lionel University,CA,3,2,31812.0,,29539.0,,12668,0.3837,480.0
California Intercontinental University,SD,3,3,,,,,PS,0.1024,141.0
Infinity College,LA,3,1,,,,,6333,,104.0
Universal Healthcare Careers College,CA,3,1,,,33617.0,,PS,,279.0
New Beginnings Beauty Academy,AR,3,1,,,19101.0,,PS,,25.0
Dolce The Academy,CT,3,1,,,11539.0,,9833,,42.0
American College of the Building Arts,SC,2,3,38984.0,,26389.0,,12500,0.64,140.0
River Valley School of Massage,AR,3,1,,,15494.0,,PS,,12.0
Atlantis University,FL,3,3,24866.0,,20767.0,,25870,0.6129,313.0
Westchester School for Medical & Dental Assistants,NY,3,1,,,16352.0,,4171,,35.0
Studio Incamminati,PA,2,1,,,,,PS,,40.0
Salon Boutique Academy,TX,3,1,,,20319.0,,7917,,191.0
GA Beauty & Barber School,TX,3,1,,,25426.0,,2783,,199.0
The Recording Conservatory of Austin,TX,3,1,,,29459.0,,PS,,82.0
VH Barber & Styling Academy,LA,3,1,,,37051.0,,14250,,24.0
Bet Medrash Gadol Ateret Torah,NY,2,3,16500.0,,4382.0,,PS,0.5217,108.0
Yeshiva Ohr Yisrael,NY,2,3,18645.0,,10500.0,,PS,0.125,17.0
Yeshiva Sholom Shachna,NY,2,3,19450.0,,7975.0,,PS,0.0606,118.0
Bethlehem College & Seminary,MN,2,3,,,,,,0.5,92.0
Elmezzi Graduate School of Molecular Medicine,NY,2,4,,,,,,,
Theatre of Arts,CA,3,2,,,,,PS,,37.0
Westchester College of Nursing & Allied Health,CA,3,1,,,23577.0,,PS,,11.0
Treasure Coast Technical College,FL,1,1,,7245.0,,,PS,,67.0
American College of Barbering,KY,3,1,,,21506.0,,14143,,75.0
Beth Medrash Meor Yitzchok,NY,2,2,22200.0,,10768.0,,PS,0.4921,222.0
Mingo Extended Learning Center,WV,1,1,,1185.0,,,PS,,13.0
San Ignacio University,FL,3,3,14305.0,,9433.0,,PS,0.7037,75.0
ZMS The Academy,CA,3,1,,,6854.0,,PS,,228.0
Valor Christian College,OH,2,2,30234.0,,25886.0,,15250,0.4146,352.0
Bethany Global University,MN,2,3,29638.0,,20833.0,,12000,0.6119,162.0
HVAC Technical Institute,IL,3,1,,,23216.0,,6851,,216.0
United International College,FL,3,3,,,,,PS,0.92,175.0
San Francisco Film School,CA,3,1,,,31029.0,,PS,,141.0
Center for Ultrasound Research & Education,NY,3,1,,,48634.0,,14635,,35.0
Culinary Tech Center,NY,3,1,,,15763.0,,6333,,44.0
Randolph Technical Center,WV,1,1,,9867.0,,,PS,,11.0
