INSTNM,STABBR,CONTROL,PREDDEG,COSTT4_A,NPT4_PUB,NPT4_PRIV,MD_EARN_WNE_P10,GRAD_DEBT_MDN,C150_4,UGDS
Arkansas State University Mid-South,AR,1,1,12556.0,3558.0,,31857.0,PS,,435.0
Arkansas Northeastern College,AR,1,1,12037.0,5144.0,,33169.0,PS,,787.0
New Tyler Barber College Inc,AR,3,1,,,14499.0,18715.0,PS,,58.0
North Arkansas College,AR,1,1,16367.0,10146.0,,34653.0,9000,,1184.0
Northwest Technical Institute,AR,1,1,16032.0,11212.0,,41513.0,PS,,217.0
Ouachita Baptist University,AR,2,3,45132.0,,22355.0,51673.0,21050,0.703,1612.0
Arkansas State University Three Rivers,AR,1,1,12748.0,7520.0,,37374.0,10250,,514.0
Ozarka College,AR,1,1,11461.0,4396.0,,29314.0,9818,,564.0
University of the Ozarks,AR,2,3,35391.0,,13630.0,44384.0,20875,0.5176,753.0
University of Arkansas Community College-Morrilton,AR,1,1,17345.0,11718.0,,34924.0,10315,,1538.0
Philander Smith University,AR,2,3,26729.0,,15360.0,38427.0,24736,0.3231,842.0
Phillips Community College of the University of Arkansas,AR,1,1,11778.0,5420.0,,29552.0,PS,,595.0
Southeast Arkansas College,AR,1,1,15876.0,11185.0,,33603.0,8600,,748.0
University of Aesthetics & Cosmetology,AR,3,1,,,12331.0,26754.0,9833,,34.0
University of Arkansas-Pulaski Technical College,AR,1,1,21096.0,15000.0,,34722.0,12080,,3791.0
University of Arkansas Hope-Texarkana,AR,1,1,13787.0,8210.0,,34162.0,PS,,697.0
University of Arkansas Community College Rich Mountain,AR,1,1,12933.0,4914.0,,30037.0,6500,,475.0
Paul Mitchell the School-Arkansas,AR,3,1,,,15309.0,20077.0,9833,,107.0
Searcy Beauty College,AR,3,1,,,15106.0,19896.0,12429,,87.0
Shorter College,AR,2,2,18713.0,,12993.0,,29500,,290.0
Williams Baptist University,AR,2,3,32222.0,,15875.0,38484.0,21820,0.3592,490.0
South Arkansas College,AR,1,1,12138.0,6235.0,,34521.0,11153,,879.0
Southern Arkansas University Main Campus,AR,1,3,24721.0,15944.0,,42386.0,18750,0.465,2865.0
Southern Arkansas University Tech,AR,1,1,16488.0,5895.0,,36376.0,6000,,663.0
Velvatex College of Beauty Culture,AR,3,1,,,10042.0,17412.0,PS,,12.0
University of Arkansas-Fort Smith,AR,1,3,18052.0,10097.0,,41102.0,18250,0.3696,4133.0
Academy of Art University,CA,3,3,47195.0,,39778.0,39008.0,31000,0.4046,4131.0
Academy of Chinese Culture and Health Sciences,CA,2,4,,,,,PS,,
College of Alameda,CA,1,2,17578.0,9280.0,,42563.0,PS,,4274.0
Allan Hancock College,CA,1,2,11544.0,4638.0,,42786.0,PS,,7812.0
American Academy of Dramatic Arts-Los Angeles,CA,2,2,55265.0,,40991.0,27019.0,12000,,169.0
Berkeley School of Theology,CA,2,1,,,,,PS,,28.0
American Film Institute Conservatory,CA,2,4,,,,,PS,,
American Beauty College,CA,3,1,,,24076.0,22481.0,5430,,250.0
American Career College-Los Angeles,CA,3,1,,,27508.0,38430.0,9500,,2066.0
American River College,CA,1,2,12986.0,4628.0,,40162.0,9625,,25758.0
Antelope Valley Community College District,CA,1,2,15158.0,8263.0,,36526.0,12500,0.3061,10905.0
Art Center College of Design,CA,2,3,71652.0,,50209.0,71958.0,31000,0.8261,2054.0
Associated Technical College-Los Angeles,CA,3,1,,,22236.0,24368.0,9500,,159.0
Associated Technical College-San Diego,CA,3,1,,,24674.0,26688.0,9500,,77.0
Azusa Pacific University,CA,2,3,54735.0,,19798.0,66677.0,23219,0.6442,2977.0
Bakersfield College,CA,1,2,13726.0,4751.0,,37291.0,8312,0.2263,16451.0
Barstow Community College,CA,1,2,20871.0,12347.0,,35104.0,3500,,2585.0
Bellus Academy-Chula Vista,CA,3,1,,,20159.0,23576.0,7917,,379.0
Bethesda University,CA,2,3,11766.0,,8388.0,,9000,0.1818,212.0
Biola University,CA,2,3,58430.0,,28101.0,56778.0,23875,0.6881,3390.0
Brownson Technical School,CA,3,1,,,32584.0,68767.0,9500,,284.0
Bryan University,AZ,3,1,26688.0,,20948.0,40283.0,20000,0.24,2083.0
Butte College,CA,1,2,13636.0,4632.0,,41810.0,10500,,8384.0
California Institute of Integral Studies,CA,2,3,,,,48848.0,18750,,57.0
Cabrillo College,CA,1,2,23625.0,13328.0,,44114.0,14380,,7404.0
California Baptist University,CA,2,3,52408.0,,27384.0,61504.0,26063,0.5953,7914.0
California College of the Arts,CA,2,3,78664.0,,42168.0,49414.0,27000,0.5872,1004.0
University of California College of the Law-San Francisco,CA,1,4,,,,,PS,,
California Institute of Technology,CA,2,3,83598.0,,18902.0,128566.0,PS,0.9316,1023.0
California Lutheran University,CA,2,3,63768.0,,26433.0,68712.0,21669,0.7402,2374.0
California Polytechnic State University-San Luis Obispo,CA,1,3,29918.0,15624.0,,90768.0,18500,0.8519,21521.0
Alliant International University-San Diego,CA,3,1,,,,66666.0,12878,0.2222,355.0
California State University-Bakersfield,CA,1,3,18815.0,5825.0,,59009.0,16600,0.4931,8183.0
